id_empresa_seguros;empresa;estado;rut
1;ASEGURADORA PORVENIR S.A.;ACTIVO;76598625-7
2;ASSURANT CHILE COMPAÑIA DE SEGUROS GENERALES S.;ACTIVO;76212519-6
3;BCI SEGUROS GENERALES S.A.;ACTIVO;99147000-K
4;BNP PARIBAS CARDIF SEGUROS GENERALES S.A.;ACTIVO;96837640-3
5;CHILENA CONSOLIDADA SEGUROS GENERALES S.A.;ACTIVO;99037000-1
6;CHUBB SEGUROS CHILE S.A.;ACTIVO;99225000-3
7;COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.;ACTIVO;96654180-6
8;COMPAÑIA DE SEGUROS GENERALES HUELEN S.;ACTIVO;96994700-5
9;COMPAÑIA DE SEGUROS GENERALES CONTINENTAL S.;ACTIVO;76039758-K
10;CONTEMPORA COMPAÑIA DE SEGUROS GENERALES S.;ACTIVO;76981875-8
11;FID CHILE SEGUROS GENERALES S.A.;ACTIVO;77096952-2
12;HDI SEGUROS S.A.;ACTIVO;99231000-6
13;LIBERTY COMPAÑIA DE SEGUROS GENERALES S.;ACTIVO;99061000-2
14;MAPFRE COMPAÑIA DE SEGUROS GENERALES DE CHILE S.;ACTIVO;96508210-7
15;METLIFE CHILE SEGUROS GENERALES S.A.;ACTIVO;76328793-9
16;MUTUALIDAD DE CARABINEROS;ACTIVO;99024000-0
17;ORION SEGUROS GENERALES S.A.;ACTIVO;76042965-1
18;REALE CHILE SEGUROS GENERALES S.A.;ACTIVO;76743492-8
19;RENTA NACIONAL COMPAÑIA DE SEGUROS GENERALES S.;ACTIVO;94510000-1
20;SEGCHILE SEGUROS GENERALES S.A.;ACTIVO;76620816-9
21;SEGUROS GENERALES SURAMERICANA S.A.;ACTIVO;99017000-2
22;SOUTHBRIDGE COMPAÑIA DE SEGUROS GENERALES S.;ACTIVO;99288000-7
23;STARR INTERNATIONAL SEGUROS GENERALES S.A.;ACTIVO;76620932-7
24;UNNIO SEGUROS GENERALES S.A.;ACTIVO;76173258-7
25;ZENIT SEGUROS GENERALES S.A.;ACTIVO;76061223-5
26;ZURICH SANTANDER SEGUROS GENERALES CHILE S.A.;ACTIVO;76590840-K
