id;codigo;nombre;tipo_autos_id
1;10;ALFA ROMEO;1
2;23;AUDI;1
3;25;AUSTIN;1
4;35;BMW;1
5;916;BRILLIANCE;1
6;57;BYD;1
7;703;CHANGAN;1
8;63;CHERY;1
9;65;CHEVROLET;1
10;70;CHRYSLER;1
11;75;CITROEN;1
12;95;DAEWOO;1
13;100;DAIHATSU;1
14;712;DFM;1
15;120;DODGE;1
16;115;DONGFENG;1
17;968;DS;1
18;910;FAW;1
19;135;FIAT;1
20;140;FORD;1
21;959;GAC;1
22;168;GEELY;1
23;161;GREAT WALL;1
24;177;HAFEI;1
25;711;HAIMA;1
26;195;HONDA;1
27;220;HYUNDAI;1
28;928;INFINITY;1
29;243;JAC;1
30;276;KIA MOTORS;1
31;303;LEXUS;1
32;305;LIFAN;1
33;325;MAZDA;1
34;330;MERCEDES BENZ;1
35;338;MG;1
36;342;MINI;1
37;340;MITSUBISHI;1
38;375;NISSAN;1
39;400;OPEL;1
40;415;PEUGEOT;1
41;440;PORSCHE;1
42;460;RENAULT;1
43;466;ROVER;1
44;469;SAAB;1
45;481;SAMSUNG;1
46;490;SEAT;1
47;505;SKODA;1
48;497;SMA;1
49;470;SSANGYONG;1
50;520;SUBARU;1
51;535;SUZUKI;1
52;550;TOYOTA;1
53;575;VOLKSWAGEN;1
54;580;VOLVO;1
55;708;ZXAUTO;1
56;22;ASIA MOTORS;2
57;26;AUTORRAD;2
58;703;CHANGAN;2
59;65;CHEVROLET;2
60;70;CHRYSLER;2
61;120;DODGE;2
62;115;DONGFENG;2
63;135;FIAT;2
64;140;FORD;2
65;142;FOTON;2
66;160;G M C;2
67;161;GREAT WALL;2
68;177;HAFEI;2
69;195;HONDA;2
70;243;JAC;2
71;257;JMC;2
72;276;KIA MOTORS;2
73;705;MAHINDRA;2
74;931;MAXUS;2
75;325;MAZDA;2
76;330;MERCEDES BENZ;2
77;340;MITSUBISHI;2
78;375;NISSAN;2
79;400;OPEL;2
80;415;PEUGEOT;2
81;991;RAM;2
82;460;RENAULT;2
83;481;SAMSUNG;2
84;470;SSANGYONG;2
85;520;SUBARU;2
86;535;SUZUKI;2
87;540;TATA;2
88;550;TOYOTA;2
89;575;VOLKSWAGEN;2
90;917;ZNA;2
91;701;ZX;2
92;22;ASIA MOTORS;3
93;703;CHANGAN;3
94;65;CHEVROLET;3
95;75;CITROEN;3
96;120;DODGE;3
97;115;DONGFENG;3
98;135;FIAT;3
99;140;FORD;3
100;142;FOTON;3
101;177;HAFEI;3
102;711;HAIMA;3
103;220;HYUNDAI;3
104;243;JAC;3
105;276;KIA MOTORS;3
106;330;MERCEDES BENZ;3
107;340;MITSUBISHI;3
108;375;NISSAN;3
109;400;OPEL;3
110;415;PEUGEOT;3
111;460;RENAULT;3
112;535;SUZUKI;3
113;550;TOYOTA;3
114;575;VOLKSWAGEN;3
115;23;AUDI;4
116;26;AUTORRAD;4
117;35;B M W;4
118;916;BRILLIANCE;4
119;63;CHERY;4
120;65;CHEVROLET;4
121;70;CHRYSLER;4
122;95;DAEWOO;4
123;100;DAIHATSU;4
124;120;DODGE;4
125;140;FORD;4
126;161;GREAT WALL;4
127;711;HAIMA;4
128;195;HONDA;4
129;220;HYUNDAI;4
130;243;JAC;4
131;255;JEEP;4
132;276;KIA MOTORS;4
133;300;LAND ROVER;4
134;303;LEXUS;4
135;705;MAHINDRA;4
136;325;MAZDA;4
137;330;MERCEDES BENZ;4
138;338;MG;4
139;340;MITSUBISHI;4
140;375;NISSAN;4
141;400;OPEL;4
142;415;PEUGEOT;4
143;505;SKODA;4
144;470;SSANGYONG;4
145;520;SUBARU;4
146;535;SUZUKI;4
147;550;TOYOTA;4
148;575;VOLKSWAGEN;4
149;917;ZNA;4
150;650;ZOTYE;4
151;65;CHEVROLET;5
152;140;FORD;5
153;142;FOTON;5
154;220;HYUNDAI;5
155;330;MERCEDES BENZ;5
156;340;MITSUBISHI;5
157;375;NISSAN;5
158;415;PEUGEOT;5
159;550;TOYOTA;5
160;10;ALFA ROMEO;8
161;23;AUDI;8
162;35;B M W;8
163;965;BAIC;8
164;916;BRILLIANCE;8
165;57;BYD;8
166;703;CHANGAN;8
167;63;CHERY;8
168;65;CHEVROLET;8
169;70;CHRYSLER;8
170;75;CITROEN;8
171;95;DAEWOO;8
172;100;DAIHATSU;8
173;712;DFM;8
174;112;DFSK;8
175;120;DODGE;8
176;115;DONGFENG;8
177;968;DS;8
178;910;FAW;8
179;135;FIAT;8
180;140;FORD;8
181;959;GAC;8
182;168;GEELY;8
183;161;GREAT WALL;8
184;711;HAIMA;8
185;958;HAVAL;8
186;195;HONDA;8
187;220;HYUNDAI;8
188;928;INFINITY;8
189;243;JAC;8
190;255;JEEP;8
191;709;JETOUR;8
192;276;KIA MOTORS;8
193;300;LAND ROVER;8
194;303;LEXUS;8
195;305;LIFAN;8
196;705;MAHINDRA;8
197;931;MAXUS;8
198;325;MAZDA;8
199;330;MERCEDES BENZ;8
200;338;MG;8
201;340;MITSUBISHI;8
202;375;NISSAN;8
203;400;OPEL;8
204;415;PEUGEOT;8
205;460;RENAULT;8
206;469;SAAB;8
207;490;SEAT;8
208;505;SKODA;8
209;470;SSANGYONG;8
210;520;SUBARU;8
211;535;SUZUKI;8
212;550;TOYOTA;8
213;575;VOLKSWAGEN;8
214;580;VOLVO;8
215;917;ZNA;8
216;650;ZOTYE;8
217;701;ZX;8
