id;codigo;modelo;tipo_autos_id;marca_autos_id
1;1010241;145;1;1
2;1010309;145 1.6 IE;1;1
3;1010242;145 1.7 IE;1;1
4;1010243;146;1;1
5;1010322;147 1.6;1;1
6;1010320;147 2.0;1;1
7;1010321;147 2.0 SELESPEDD;1;1
8;1010315;156 2.0;1;1
9;1010316;156 2.5;1;1
10;1010298;159;1;1
11;1010327;159 SELESPEED;1;1
12;1010326;159 TI ELEGANCE;1;1
13;1010251;164 2.0 IE;1;1
14;1010252;164 2.0 V6 TURBO;1;1
15;1010260;164 3.0;1;1
16;1010265;164 3.0 V6;1;1
17;1010270;164 3.0 V6 24VALV.;1;1
18;1010310;164 TS;1;1
19;1010299;166;1;1
20;1010318;166 1.9 JTD;1;1
21;1010317;166 3.0;1;1
22;1010319;166 3.0 AUT;1;1
23;1010295;ALFA 147;1;1
24;1010296;ALFA 156;1;1
25;1010323;ALFA 159 1.9 JTD;1;1
26;1010300;BRERA;1;1
27;1010311;BRERA 3.2;1;1
28;1010312;BRERA COUPE;1;1
29;1010305;GIULIETA;1;1
30;1010313;GIULIETA SS;1;1
31;1010190;GIULIETTA;1;1
32;1010301;GT;1;1
33;1010181;GTV;1;1
34;1010290;GTV V6 TURBO;1;1
35;1010302;MITO;1;1
36;1010325;MITO 1.4;1;1
37;1010324;MITO 16V;1;1
38;1010220;SPIDER;1;1
39;1010314;SPIDER SS;1;1
40;1023012;100;1;2
41;1023159;A 6;1;2
42;1023192;A1;1;2
43;1023251;A1 1.2T;1;2
44;1023252;A1 1.4 AUT;1;2
45;1023142;A3;1;2
46;1023216;A3 1.6;1;2
47;1023214;A3 1.8 T;1;2
48;1023217;A3 2.0 T FSE S TRONIC;1;2
49;1023219;A3 ATTRACTION 1.4;1;2
50;1023221;A3 ATTRACTION TFSI  1.2 AUT;1;2
51;1023220;A3 CABRIO 1.4 T STRONIC;1;2
52;1023218;A3 SPORTBACK 1.2 TURBO STRONIC;1;2
53;1023215;A3 SPORTBACK 2.0;1;2
